customer_id,age,tenure,monthly_charges,contract_type,satisfaction_score,churned
0,0.06530842260271973,-0.5357688106889208,-0.4512150522092058,0,-0.9364417103712741,1.1937336386313322
1,0.8490094938353565,0.08842786195836552,0.49190818689120214,1,0.6242944735808491,-0.7958224257542215
2,-1.0667042358444223,-1.0039163151743855,-1.1932663317044505,0,-0.15607361839521247,1.1937336386313322
3,-0.2830031646117855,0.7126245346056519,0.2668990892378052,2,1.4046625655569107,-0.7958224257542215
4,0.32654211301359864,-0.7438343682380163,-0.7049487155204829,0,-1.7168098023473357,1.1937336386313322
5,1.8068663586752458,1.3368212072529382,1.4398188536012566,2,0.6242944735808491,-0.7958224257542215
6,-0.8925484422371696,-0.3797196425270992,-0.2214185269461624,1,-0.15607361839521247,-0.7958224257542215
7,-1.5020937198625537,-1.0559327045616593,-1.4374251397964344,0,-0.9364417103712741,1.1937336386313322
8,1.1973210810498616,1.9610178799002247,1.7031273721318272,2,1.4046625655569107,-0.7958224257542215
9,-0.10884737100453287,-0.22367047436527765,0.003590570707234511,1,-0.15607361839521247,-0.7958224257542215
10,-0.5442368550226644,-0.6398015894634685,-0.36025392762591746,0,-0.9364417103712741,1.1937336386313322
11,0.5877758034244775,-0.015604916816182195,0.3913722070886202,1,0.6242944735808491,-0.7958224257542215
12,-1.2408600294516747,-0.8998835363998379,-1.298589739116679,0,-0.15607361839521247,1.1937336386313322
13,0.23946421620997232,0.4005261982820087,0.7504292778121258,2,1.4046625655569107,-0.7958224257542215
14,0.7619315970317302,-0.8478671470125639,-0.5709007424503744,0,-1.7168098023473357,1.1937336386313322
15,1.4585547714607405,1.6489195435765813,1.2100223283382132,2,0.6242944735808491,-0.7958224257542215
16,-0.718392648629917,-0.4317360319143731,-0.04907113299887936,1,-0.15607361839521247,-0.7958224257542215
17,-1.6762495134698063,-1.1079490939489334,-1.6480719546208908,0,-0.9364417103712741,1.1937336386313322
18,0.9360873906389827,1.856985101125677,1.5547171162327786,2,1.4046625655569107,-0.7958224257542215
19,-0.1959252678081592,-0.11963769559072991,0.12327626094840302,1,-0.15607361839521247,-0.7958224257542215
